job_id,job_title,company_name,company_rating,location,scraped_city,role_category,experience_raw,experience_min_yrs,experience_max_yrs,salary_min_lpa,salary_max_lpa,salary_midpoint_lpa,salary_disclosed,work_mode,company_size_bucket,primary_city,skill_domain,days_since_posted,is_senior,is_fresher_friendly,experience_tier,salary_tier
17437,Business Analyst - Wealth Management-PCAP,Infosys,3.5,Bengaluru,Bangalore,Business Analyst,3-8 Yrs,3.0,8.0,0.0,0.0,0.0,False,On-site,Large (1000+),Bangalore,Business Intelligence,21.0,False,False,Mid (3-5 Yrs),Undisclosed
17438,Business Analyst-Capital Market-Calypso,Capco,3.8,Bengaluru,Bangalore,Business Analyst,6-11 Yrs,6.0,11.0,0.0,0.0,0.0,False,On-site,Small/Startup (<100),Bangalore,Business Intelligence,21.0,False,False,Senior (6-8 Yrs),Undisclosed
17439,Finance Business Analyst - DA&I,Diageo,3.8,Bengaluru,Bangalore,Business Analyst,2-7 Yrs,2.0,7.0,0.0,0.0,0.0,False,On-site,Small/Startup (<100),Bangalore,Business Intelligence,21.0,False,False,Junior (0-2 Yrs),Undisclosed
17440,IS Business analyst - PCP Go-to-Market and R&D solutions,ABB Ltd,4.0,Bengaluru,Bangalore,Business Analyst,6-8 Yrs,6.0,8.0,0.0,0.0,0.0,False,On-site,Small/Startup (<100),Bangalore,Business Intelligence,7.0,False,False,Senior (6-8 Yrs),Undisclosed
17441,Business analyst - PCP Productization specialist,ABB Ltd,4.0,Bengaluru,Bangalore,Business Analyst,5-10 Yrs,5.0,10.0,0.0,0.0,0.0,False,Hybrid,Small/Startup (<100),Bangalore,Business Intelligence,7.0,False,False,Mid (3-5 Yrs),Undisclosed
17442,IS Business analyst - PCP Go-to-Market and R&D solutions,ABB,4.0,Bengaluru,Bangalore,Business Analyst,6-8 Yrs,6.0,8.0,0.0,0.0,0.0,False,On-site,Small/Startup (<100),Bangalore,Business Intelligence,7.0,False,False,Senior (6-8 Yrs),Undisclosed
17443,Business analyst - PCP Productization specialist,ABB,4.0,Bengaluru,Bangalore,Business Analyst,5-10 Yrs,5.0,10.0,0.0,0.0,0.0,False,Hybrid,Small/Startup (<100),Bangalore,Business Intelligence,7.0,False,False,Mid (3-5 Yrs),Undisclosed
17444,Advanced Business Analyst,Novo Nordisk,3.6,Bengaluru,Bangalore,Business Analyst,2-5 Yrs,2.0,5.0,0.0,0.0,0.0,False,On-site,Small/Startup (<100),Bangalore,Business Intelligence,21.0,False,False,Junior (0-2 Yrs),Undisclosed
17445,Business Analyst Transformation,Hsbc,3.8,Bengaluru,Bangalore,Business Analyst,2-6 Yrs,2.0,6.0,0.0,0.0,0.0,False,On-site,Large (1000+),Bangalore,Business Intelligence,21.0,False,False,Junior (0-2 Yrs),Undisclosed
17446,Siebel CRM Business Analyst,Tata Consultancy Services,3.3,"Mumbai, Hyderabad, Bengaluru",Bangalore,Business Analyst,7-12 Yrs,7.0,12.0,0.0,0.0,0.0,False,On-site,Large (1000+),Mumbai,Business Intelligence,14.0,False,False,Senior (6-8 Yrs),Undisclosed
17447,Senior / Lead Business Analyst,Calpion Software Technologies Private Ltd,3.5,Bengaluru,Bangalore,Business Analyst,4-7 Yrs,4.0,7.0,0.0,0.0,0.0,False,On-site,Small/Startup (<100),Bangalore,Business Intelligence,21.0,True,False,Mid (3-5 Yrs),Undisclosed
17448,ERP HCM Business Analyst,Hexaware Technologies,3.4,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Bangalore,Business Analyst,3-6 Yrs,3.0,6.0,0.0,0.0,0.0,False,On-site,Large (1000+),Kolkata,Business Intelligence,21.0,False,False,Mid (3-5 Yrs),Undisclosed
17449,"Expert,ERP Business Analyst",Schneider Electric India Pvt. Ltd.,4.1,Bengaluru,Bangalore,Business Analyst,5-10 Yrs,5.0,10.0,0.0,0.0,0.0,False,On-site,Small/Startup (<100),Bangalore,Business Intelligence,21.0,False,False,Mid (3-5 Yrs),Undisclosed
17450,Siebel Business Analyst,Tata Consultancy Services,3.3,"Mumbai, Hyderabad, Bengaluru",Bangalore,Business Analyst,6-11 Yrs,6.0,11.0,0.0,0.0,0.0,False,On-site,Large (1000+),Mumbai,Business Intelligence,21.0,False,False,Senior (6-8 Yrs),Undisclosed
17451,Business Analyst - Banking Domain (RFP & Automation Focus),Tech Mahindra,3.3,"Pune, Chennai, Bengaluru",Bangalore,Business Analyst,10-16 Yrs,0.0,0.0,0.0,0.0,0.0,False,On-site,Large (1000+),Pune,Business Intelligence,21.0,False,True,Fresher,Undisclosed
17452,Business Analyst I-SAP EWM,Novo Nordisk,3.6,Bengaluru,Bangalore,Business Analyst,3-6 Yrs,3.0,6.0,0.0,0.0,0.0,False,On-site,Small/Startup (<100),Bangalore,Business Intelligence,21.0,False,False,Mid (3-5 Yrs),Undisclosed
17453,Business Analyst- Life insurance,Cognizant,3.7,"Noida, Chennai, Bengaluru",Bangalore,Business Analyst,6-11 Yrs,6.0,11.0,12.0,22.0,17.0,True,On-site,Large (1000+),Noida,Business Intelligence,21.0,False,False,Senior (6-8 Yrs),Senior (10-20 LPA)
