job_id,role_category,skill,core_skill,job_title,company_name,scraped_city,experience_tier,work_mode,salary_midpoint_lpa,salary_disclosed,salary_tier
3487,Data Scientist,pyspark,PySpark,"Data Engineer - Python, PySpark, DBT",Tata Consultancy Services,Chennai,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
3487,Data Scientist,data engineering,Data Engineering,"Data Engineer - Python, PySpark, DBT",Tata Consultancy Services,Chennai,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
3489,Data Scientist,pyspark,PySpark,PySpark Data Engineer,Tata Consultancy Services,Chennai,Mid (3-5 Yrs),On-site,10.0,True,Junior (3-6 LPA)
3489,Data Scientist,aws,AWS,PySpark Data Engineer,Tata Consultancy Services,Chennai,Mid (3-5 Yrs),On-site,10.0,True,Junior (3-6 LPA)
3489,Data Scientist,python,Python,PySpark Data Engineer,Tata Consultancy Services,Chennai,Mid (3-5 Yrs),On-site,10.0,True,Junior (3-6 LPA)
3489,Data Scientist,cloud,Cloud,PySpark Data Engineer,Tata Consultancy Services,Chennai,Mid (3-5 Yrs),On-site,10.0,True,Junior (3-6 LPA)
3490,Data Scientist,data engineering,Data Engineering,Data Engineer,Capgemini,Chennai,Senior (6-8 Yrs),Hybrid,0.0,False,Undisclosed
3491,Data Scientist,data engineering,Data Engineering,Data engineer- Spark scala,Tata Consultancy Services,Chennai,Senior (6-8 Yrs),On-site,22.5,True,Senior (10-20 LPA)
3493,Data Scientist,pyspark,PySpark,Data Engineer,Tech Mahindra,Chennai,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
3493,Data Scientist,data engineering,Data Engineering,Data Engineer,Tech Mahindra,Chennai,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
3494,Data Scientist,data engineering,Data Engineering,"Data engineer (Hadoop , Scala , Spark)",Tata Consultancy Services,Chennai,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
3495,Data Scientist,power bi,Power BI,MS Fabric Data Engineer : B,Tata Consultancy Services,Chennai,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
3495,Data Scientist,sql,SQL,MS Fabric Data Engineer : B,Tata Consultancy Services,Chennai,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
3496,Data Scientist,gcp,GCP,EY - GDS Consulting - AI And DATA -Forward Deployed Engineer - Manager,EY,Chennai,Lead/Architect (9+ Yrs),On-site,0.0,False,Undisclosed
3497,Data Scientist,machine learning,Machine Learning,Data Engineer,Ford,Chennai,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
3497,Data Scientist,agile,Agile,Data Engineer,Ford,Chennai,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
